contigsID	Family level (ICTV taxonomic)	Family level (Host)	Genus (Host)	log2FoldChange	enrichment
contigs_cluasted5628;size=1	Microviridae	No predicted host	No predicted host	-6.20407268	HC_enriched
contigs_cluasted5629;size=6	Microviridae	Bacteroidaceae	Bacteroides	3.551307635	RA_enriched
contigs_cluasted563;size=1	No classification	No predicted host	No predicted host	-1.5316684	HC_enriched
contigs_cluasted5664;size=1	Microviridae	Bacteroidaceae	Bacteroides	-3.859204491	HC_enriched
contigs_cluasted5674;size=1	Microviridae	Bacteroidaceae	Bacteroides	-2.842789059	HC_enriched
contigs_cluasted5675;size=1	Microviridae	Bacteroidaceae	Bacteroides	-1.803221378	HC_enriched
contigs_cluasted5680;size=3	Microviridae	Bacteroidaceae	Bacteroides	5.508016743	RA_enriched
contigs_cluasted569;size=1	No classification	Actinomycetaceae	Actinomyces	1.738620123	RA_enriched
contigs_cluasted570;size=1	Myoviridae	No predicted host	No predicted host	-1.598270299	HC_enriched
contigs_cluasted5710;size=4	Microviridae	No predicted host	No predicted host	2.451499211	RA_enriched
contigs_cluasted5714;size=1	Microviridae	No predicted host	No predicted host	-1.390970145	HC_enriched
contigs_cluasted5736;size=1	Microviridae	Bacteroidaceae	Bacteroides	-2.329615695	HC_enriched
contigs_cluasted5738;size=1	Microviridae	Bacteroidaceae	Bacteroides	1.093912796	RA_enriched
contigs_cluasted5739;size=1	Microviridae	Bacteroidaceae	Bacteroides	-5.424559045	HC_enriched
contigs_cluasted5763;size=1	Microviridae	No predicted host	No predicted host	-1.26769711	HC_enriched
contigs_cluasted5765;size=1	Microviridae	Flavobacteriaceae	Flavobacterium	-4.343438261	HC_enriched
contigs_cluasted5773;size=1	Microviridae	Bacteroidaceae	Bacteroides	1.670578901	RA_enriched
contigs_cluasted5776;size=4	Microviridae	Bacteroidaceae	Bacteroides	4.10731294	RA_enriched
contigs_cluasted5791;size=1	Microviridae	Bacteroidaceae	Bacteroides	-1.966783035	HC_enriched
contigs_cluasted5797;size=2	Microviridae	Bacteroidaceae	Bacteroides	4.496574486	RA_enriched
contigs_cluasted5799;size=5	Microviridae	Bacteroidaceae	Bacteroides	-2.096144546	HC_enriched
contigs_cluasted580;size=1	Myoviridae	No predicted host	No predicted host	-1.902862147	HC_enriched
contigs_cluasted582;size=1	Siphoviridae	Streptomycetaceae	Streptomyces	2.868268394	RA_enriched
contigs_cluasted5828;size=2	Microviridae	Bacteroidaceae	Bacteroides	1.940449715	RA_enriched
contigs_cluasted5830;size=9	Microviridae	Bacteroidaceae	Bacteroides	1.835738731	RA_enriched
contigs_cluasted5834;size=1	Microviridae	Bacteroidaceae	Bacteroides	2.48077077	RA_enriched
contigs_cluasted5836;size=1	Microviridae	No predicted host	No predicted host	1.308596734	RA_enriched
contigs_cluasted5838;size=5	Microviridae	No predicted host	No predicted host	2.363217534	RA_enriched
contigs_cluasted5847;size=2	Microviridae	Bacteroidaceae	Bacteroides	-3.050163308	HC_enriched
contigs_cluasted586;size=1	Siphoviridae	Erysipelotrichaceae	Eubacterium	2.61864278	RA_enriched
contigs_cluasted5861;size=1	Microviridae	Bacteroidaceae	Bacteroides	1.199816086	RA_enriched
contigs_cluasted588;size=1	Siphoviridae	Lachnospiraceae	Blautia	3.930206643	RA_enriched
contigs_cluasted5882;size=1	Microviridae	Bacteroidaceae	Bacteroides	-1.797672828	HC_enriched
contigs_cluasted592;size=2	Podoviridae	Clostridiaceae	Butyricicoccus	-4.391965359	HC_enriched
contigs_cluasted5922;size=1	Microviridae	Odoribacteraceae	Butyricimonas	-1.259917823	HC_enriched
contigs_cluasted5937;size=3	Microviridae	Bacteroidaceae	Bacteroides	3.704743694	RA_enriched
contigs_cluasted594;size=2	Myoviridae	Sutterellaceae	Sutterella	-1.835777574	HC_enriched
contigs_cluasted5956;size=1	No classification	No predicted host	No predicted host	1.827249404	RA_enriched
contigs_cluasted5969;size=1	Microviridae	Ruminococcaceae	Faecalibacterium	2.49645113	RA_enriched
contigs_cluasted60;size=1	Herelleviridae	Ruminococcaceae	Ruminococcus	-1.380029408	HC_enriched
contigs_cluasted6012;size=1	Microviridae	No predicted host	No predicted host	1.454278549	RA_enriched
contigs_cluasted6029;size=1	Microviridae	Bacteroidaceae	Bacteroides	1.687734731	RA_enriched
contigs_cluasted6044;size=3	Microviridae	No predicted host	No predicted host	-4.844995941	HC_enriched
contigs_cluasted6053;size=1	Microviridae	Rikenellaceae	Alistipes	-2.197102848	HC_enriched
contigs_cluasted6054;size=1	Microviridae	Bacteroidaceae	Bacteroides	2.301602046	RA_enriched
contigs_cluasted6055;size=1	Microviridae	Acidaminococcaceae	Phascolarctobacterium	-3.567249893	HC_enriched
contigs_cluasted606;size=1	Siphoviridae	No predicted host	No predicted host	-1.136176883	HC_enriched
contigs_cluasted607;size=1	No classification	Prevotellaceae	Prevotella	-3.138645369	HC_enriched
contigs_cluasted6073;size=4	Microviridae	Ruminococcaceae	Faecalibacterium	5.401559915	RA_enriched
contigs_cluasted608;size=2	Siphoviridae	Ruminococcaceae	Faecalibacterium	1.232136377	RA_enriched
contigs_cluasted6081;size=1	Microviridae	No predicted host	No predicted host	-2.964272855	HC_enriched
contigs_cluasted6095;size=1	Microviridae	Ruminococcaceae	Faecalibacterium	2.853589367	RA_enriched
contigs_cluasted6100;size=5	Microviridae	No predicted host	No predicted host	-3.884255825	HC_enriched
contigs_cluasted6101;size=1	Microviridae	No predicted host	No predicted host	-3.786977864	HC_enriched
contigs_cluasted611;size=1	Myoviridae	Oscillospiraceae	Oscillospiraceae	-1.357008579	HC_enriched
contigs_cluasted6127;size=1	Microviridae	Prevotellaceae	Prevotella	1.173025052	RA_enriched
contigs_cluasted6130;size=1	Microviridae	Prevotellaceae	Prevotella	-4.843475716	HC_enriched
contigs_cluasted6147;size=1	Microviridae	Bacteroidaceae	Bacteroides	3.103121824	RA_enriched
contigs_cluasted616;size=1	Siphoviridae	No predicted host	No predicted host	-1.111210239	HC_enriched
contigs_cluasted6165;size=1	Microviridae	Ruminococcaceae	Faecalibacterium	1.329609723	RA_enriched
contigs_cluasted618;size=1	Myoviridae	No predicted host	No predicted host	-1.839779917	HC_enriched
contigs_cluasted6181;size=1	Microviridae	Ruminococcaceae	Faecalibacterium	1.932863696	RA_enriched
contigs_cluasted6257;size=4	Microviridae	Bacteroidaceae	Bacteroides	1.781684688	RA_enriched
contigs_cluasted6271;size=6	Microviridae	No predicted host	No predicted host	-5.771340447	HC_enriched
contigs_cluasted6278;size=1	Microviridae	Ruminococcaceae	Faecalibacterium	-1.794947686	HC_enriched
contigs_cluasted6288;size=3	Microviridae	No predicted host	No predicted host	5.933475216	RA_enriched
contigs_cluasted6313;size=1	Microviridae	No predicted host	No predicted host	-3.658325543	HC_enriched
contigs_cluasted6314;size=1	Microviridae	No predicted host	No predicted host	-5.804995554	HC_enriched
contigs_cluasted6318;size=1	Microviridae	No predicted host	No predicted host	-4.067091811	HC_enriched
contigs_cluasted633;size=2	Siphoviridae	No predicted host	No predicted host	1.112352022	RA_enriched
contigs_cluasted6401;size=1	Microviridae	Ruminococcaceae	Faecalibacterium	-1.662698789	HC_enriched
contigs_cluasted6414;size=1	Microviridae	No predicted host	No predicted host	-2.647698129	HC_enriched
contigs_cluasted6420;size=1	Microviridae	Erysipelotrichaceae	Erysipelatoclostridium	1.961689294	RA_enriched
contigs_cluasted6423;size=1	Microviridae	No predicted host	No predicted host	-1.772338927	HC_enriched
contigs_cluasted6436;size=1	Microviridae	No predicted host	No predicted host	-1.062230174	HC_enriched
contigs_cluasted6438;size=1	Microviridae	Sutterellaceae	Sutterella	-2.93747439	HC_enriched
contigs_cluasted6455;size=1	Microviridae	Bacteroidaceae	Bacteroides	1.174965119	RA_enriched
contigs_cluasted647;size=1	Myoviridae	Ruminococcaceae	Ruminococcus	-1.251045708	HC_enriched
contigs_cluasted6478;size=1	Microviridae	No predicted host	No predicted host	4.223331761	RA_enriched
contigs_cluasted6481;size=1	Microviridae	Bacteroidaceae	Bacteroides	-1.234908361	HC_enriched
contigs_cluasted65;size=2	crAss-like phage	Bacteroidaceae	Bacteroides	-3.20380732	HC_enriched
contigs_cluasted6501;size=1	Microviridae	Ruminococcaceae	Flavonifractor	-1.321904213	HC_enriched
contigs_cluasted6505;size=4	Microviridae	No predicted host	No predicted host	-5.497064591	HC_enriched
contigs_cluasted6511;size=1	Microviridae	Ruminococcaceae	Flavonifractor	-2.573109596	HC_enriched
contigs_cluasted6541;size=1	Microviridae	Ruminococcaceae	Flavonifractor	-1.359819265	HC_enriched
contigs_cluasted6555;size=5	Microviridae	No predicted host	No predicted host	-5.616292861	HC_enriched
contigs_cluasted6567;size=1	Microviridae	No predicted host	No predicted host	1.929611961	RA_enriched
contigs_cluasted6568;size=2	Microviridae	No predicted host	No predicted host	-1.840972296	HC_enriched
contigs_cluasted6572;size=1	Inoviridae	No predicted host	No predicted host	2.57172506	RA_enriched
contigs_cluasted6574;size=1	Microviridae	No predicted host	No predicted host	2.195083755	RA_enriched
contigs_cluasted6575;size=3	Microviridae	No predicted host	No predicted host	-1.763359113	HC_enriched
contigs_cluasted6599;size=1	Microviridae	Ruminococcaceae	Flavonifractor	-1.314543079	HC_enriched
contigs_cluasted66;size=2	crAss-like phage	Tannerellaceae	Parabacteroides	-1.919714016	HC_enriched
contigs_cluasted661;size=2	No classification	Neisseriaceae	Neisseria	1.288521957	RA_enriched
contigs_cluasted6645;size=1	Microviridae	No predicted host	No predicted host	-1.2814502	HC_enriched
contigs_cluasted6648;size=1	Inoviridae	Lachnospiraceae	Lachnospira	1.020144595	RA_enriched
contigs_cluasted665;size=2	Myoviridae	Oscillospiraceae	Oscillibacter	1.788438764	RA_enriched
contigs_cluasted667;size=2	Siphoviridae	No predicted host	No predicted host	-6.246299192	HC_enriched
contigs_cluasted6681;size=1	Microviridae	Ruminococcaceae	Flavonifractor	-1.929118586	HC_enriched
contigs_cluasted67;size=1	crAss-like phage	No predicted host	No predicted host	-1.330914396	HC_enriched
contigs_cluasted671;size=1	Myoviridae	Lactobacillaceae	Lactobacillus	-2.061506559	HC_enriched
contigs_cluasted6732;size=1	Microviridae	Acidaminococcaceae	Phascolarctobacterium	-2.085009157	HC_enriched
contigs_cluasted6755;size=1	Microviridae	No predicted host	No predicted host	-1.12206961	HC_enriched
contigs_cluasted6775;size=4	Microviridae	No predicted host	No predicted host	-6.237507627	HC_enriched
contigs_cluasted679;size=1	Siphoviridae	No predicted host	No predicted host	-1.918343525	HC_enriched
contigs_cluasted6796;size=1	Microviridae	Tannerellaceae	Parabacteroides	1.044154508	RA_enriched
contigs_cluasted6797;size=1	Microviridae	No predicted host	No predicted host	-1.465695226	HC_enriched
contigs_cluasted6810;size=1	Microviridae	Acidaminococcaceae	Phascolarctobacterium	-7.522898606	HC_enriched
contigs_cluasted6830;size=2	Polyomaviridae	Eukaryotic virus	Eukaryotic virus	1.051977311	RA_enriched
contigs_cluasted6833;size=1	Microviridae	No predicted host	No predicted host	-1.676001221	HC_enriched
contigs_cluasted6841;size=1	No classification	No predicted host	No predicted host	-2.691487308	HC_enriched
contigs_cluasted6844;size=1	Microviridae	Acidaminococcaceae	Phascolarctobacterium	-5.461651542	HC_enriched
contigs_cluasted686;size=1	Siphoviridae	Ruminococcaceae	Faecalibacterium	1.503837118	RA_enriched
contigs_cluasted687;size=4	Myoviridae	Barnesiellaceae	Coprobacter	-2.433627807	HC_enriched
contigs_cluasted6877;size=1	Microviridae	Bacteroidaceae	Bacteroides	-1.740375929	HC_enriched
contigs_cluasted69;size=3	Siphoviridae	Ruminococcaceae	Ruminococcus	-1.540982895	HC_enriched
contigs_cluasted6905;size=1	Inoviridae	Ruminococcaceae	Subdoligranulum	-2.960060964	HC_enriched
contigs_cluasted6908;size=1	Microviridae	No predicted host	No predicted host	-6.4163992	HC_enriched
contigs_cluasted6933;size=1	Microviridae	Sutterellaceae	Sutterella	-8.071158705	HC_enriched
contigs_cluasted6954;size=1	No classification	No predicted host	No predicted host	-3.10289905	HC_enriched
contigs_cluasted6970;size=2	Microviridae	Bacteroidaceae	Bacteroides	1.404129431	RA_enriched
contigs_cluasted698;size=1	No classification	Mycobacteriaceae	Mycobacterium	-1.669079681	HC_enriched
contigs_cluasted6987;size=1	Microviridae	Sutterellaceae	Sutterella	-4.273513215	HC_enriched
contigs_cluasted6991;size=1	Microviridae	Sutterellaceae	Sutterella	-3.914915519	HC_enriched
contigs_cluasted7006;size=1	Microviridae	Ruminococcaceae	Ruminococcus	-1.66380265	HC_enriched
contigs_cluasted7010;size=2	Microviridae	Bacteroidaceae	Bacteroides	-2.16201289	HC_enriched
contigs_cluasted7022;size=1	Microviridae	Porphyromonadaceae	Porphyromonas	-1.146420662	HC_enriched
contigs_cluasted7044;size=1	Microviridae	Sutterellaceae	Parasutterella	-2.321317447	HC_enriched
contigs_cluasted7059;size=8	Microviridae	Veillonellaceae	Dialister	2.656450389	RA_enriched
contigs_cluasted706;size=1	Siphoviridae	Lachnospiraceae	Lachnospira	-1.106417888	HC_enriched
contigs_cluasted7078;size=1	Microviridae	Sutterellaceae	Parasutterella	-1.993620126	HC_enriched
contigs_cluasted7081;size=1	Microviridae	Bacteroidaceae	Bacteroides	-4.288887117	HC_enriched
contigs_cluasted7087;size=1	Microviridae	Sutterellaceae	Parasutterella	-1.197168416	HC_enriched
contigs_cluasted71;size=1	Podoviridae	No predicted host	No predicted host	-1.487827007	HC_enriched
contigs_cluasted713;size=1	Myoviridae	No predicted host	No predicted host	-3.705465633	HC_enriched
contigs_cluasted7149;size=1	Microviridae	No predicted host	No predicted host	-1.580003856	HC_enriched
contigs_cluasted716;size=1	Siphoviridae	Ruminococcaceae	Ruminococcus	-2.145753517	HC_enriched
contigs_cluasted718;size=1	Siphoviridae	Bacteroidaceae	Bacteroides	-1.786686137	HC_enriched
contigs_cluasted7180;size=2	Virgaviridae	Eukaryotic virus	Eukaryotic virus	4.968451181	RA_enriched
contigs_cluasted7229;size=2	Microviridae	Erysipelotrichaceae	Erysipelatoclostridium	1.116991711	RA_enriched
contigs_cluasted7241;size=1	Microviridae	Bacteroidaceae	Bacteroides	-1.891147607	HC_enriched
contigs_cluasted7285;size=1	Microviridae	Prevotellaceae	Prevotella	-2.35035732	HC_enriched
contigs_cluasted729;size=1	No classification	Erysipelotrichaceae	Eubacterium	2.431374899	RA_enriched
contigs_cluasted73;size=1	Inoviridae	No predicted host	No predicted host	-1.861391339	HC_enriched
contigs_cluasted732;size=1	Siphoviridae	Sutterellaceae	Sutterella	-1.729503288	HC_enriched
contigs_cluasted7354;size=1	Microviridae	No predicted host	No predicted host	1.29963892	RA_enriched
contigs_cluasted736;size=1	No classification	Erysipelotrichaceae	Eubacterium	1.241650338	RA_enriched
contigs_cluasted7370;size=1	Microviridae	Bacteroidaceae	Bacteroides	-3.468268302	HC_enriched
contigs_cluasted741;size=1	Siphoviridae	Streptomycetaceae	Streptomyces	4.580766453	RA_enriched
contigs_cluasted7414;size=1	Inoviridae	Ruminococcaceae	Ruthenibacterium	-1.672659394	HC_enriched
contigs_cluasted7426;size=2	Microviridae	Acidaminococcaceae	Phascolarctobacterium	-3.379900482	HC_enriched
contigs_cluasted746;size=3	Siphoviridae	Streptomycetaceae	Streptomyces	-1.834485776	HC_enriched
contigs_cluasted748;size=1	Podoviridae	No predicted host	No predicted host	-2.421043444	HC_enriched
contigs_cluasted75;size=1	Siphoviridae	No predicted host	No predicted host	-1.471804727	HC_enriched
contigs_cluasted750;size=1	Siphoviridae	Lachnospiraceae	Blautia	2.513967103	RA_enriched
contigs_cluasted76;size=1	Siphoviridae	Lachnospiraceae	Lachnospira	-1.078378892	HC_enriched
contigs_cluasted7607;size=1	Microviridae	Sutterellaceae	Sutterella	-3.21480658	HC_enriched
contigs_cluasted7615;size=1	Microviridae	Acidaminococcaceae	Phascolarctobacterium	-5.908062826	HC_enriched
contigs_cluasted775;size=1	Myoviridae	Clostridiaceae	Hungatella	1.418263751	RA_enriched
contigs_cluasted7774;size=2	Microviridae	No predicted host	No predicted host	1.391383548	RA_enriched
contigs_cluasted7793;size=1	Microviridae	Sutterellaceae	Sutterella	-3.954936131	HC_enriched
contigs_cluasted783;size=1	Myoviridae	Lachnospiraceae	Blautia	1.240293234	RA_enriched
contigs_cluasted7833;size=1	Microviridae	Enterobacteriaceae	Klebsiella	3.018033031	RA_enriched
contigs_cluasted7883;size=1	Microviridae	No predicted host	No predicted host	3.680658202	RA_enriched
contigs_cluasted79;size=1	No classification	Bacteroidaceae	Bacteroides	-1.762832277	HC_enriched
contigs_cluasted7958;size=3	Inoviridae	Ruminococcaceae	Subdoligranulum	-1.852179431	HC_enriched
contigs_cluasted7967;size=1	Microviridae	No predicted host	No predicted host	1.226126729	RA_enriched
contigs_cluasted799;size=1	Siphoviridae	Oscillospiraceae	Oscillibacter	-1.505034559	HC_enriched
contigs_cluasted8058;size=1	Inoviridae	Ruminococcaceae	Ruminococcus	1.291942418	RA_enriched
contigs_cluasted806;size=1	Siphoviridae	No predicted host	No predicted host	1.760404524	RA_enriched
contigs_cluasted8109;size=2	Microviridae	No predicted host	No predicted host	-3.162626591	HC_enriched
contigs_cluasted8113;size=2	Microviridae	Bacteroidaceae	Bacteroides	-3.069652256	HC_enriched
contigs_cluasted8132;size=1	Microviridae	Bacteroidaceae	Bacteroides	1.35084067	RA_enriched
contigs_cluasted8158;size=2	Microviridae	Bacteroidaceae	Bacteroides	1.630710824	RA_enriched
contigs_cluasted8192;size=1	Microviridae	Bacteroidaceae	Bacteroides	-2.849295527	HC_enriched
contigs_cluasted8206;size=1	Microviridae	Bacteroidaceae	Bacteroides	-1.561718386	HC_enriched
contigs_cluasted8216;size=2	Microviridae	No predicted host	No predicted host	3.338456137	RA_enriched
contigs_cluasted8217;size=1	Microviridae	No predicted host	No predicted host	-1.964871843	HC_enriched
contigs_cluasted8230;size=1	Microviridae	No predicted host	No predicted host	1.244696969	RA_enriched
contigs_cluasted8231;size=4	Microviridae	No predicted host	No predicted host	-6.670448742	HC_enriched
contigs_cluasted8243;size=1	Inoviridae	No predicted host	No predicted host	1.024124517	RA_enriched
contigs_cluasted8259;size=1	Microviridae	Bacteroidaceae	Bacteroides	3.183309086	RA_enriched
contigs_cluasted827;size=1	Myoviridae	Lachnospiraceae	Blautia	-1.077487719	HC_enriched
contigs_cluasted8277;size=1	Microviridae	Bacteroidaceae	Bacteroides	-1.171858422	HC_enriched
contigs_cluasted8294;size=1	Microviridae	Bacteroidaceae	Bacteroides	-1.416412379	HC_enriched
contigs_cluasted8299;size=1	Microviridae	Bacteroidaceae	Bacteroides	1.439774216	RA_enriched
contigs_cluasted8302;size=2	Microviridae	No predicted host	No predicted host	2.839562415	RA_enriched
contigs_cluasted8306;size=1	Microviridae	No predicted host	No predicted host	-1.604892815	HC_enriched
contigs_cluasted8307;size=3	Microviridae	Ruminococcaceae	Faecalibacterium	2.323377328	RA_enriched
contigs_cluasted8314;size=1	Microviridae	Ruminococcaceae	Faecalibacterium	-2.687346927	HC_enriched
contigs_cluasted8323;size=1	Inoviridae	Ruminococcaceae	Subdoligranulum	-1.991721456	HC_enriched
contigs_cluasted8336;size=1	Microviridae	No predicted host	No predicted host	1.262118693	RA_enriched
contigs_cluasted8350;size=1	Microviridae	No predicted host	No predicted host	1.436904699	RA_enriched
contigs_cluasted836;size=1	Siphoviridae	Ruminococcaceae	Faecalibacterium	1.829479235	RA_enriched
contigs_cluasted8363;size=1	Microviridae	Bacteroidaceae	Bacteroides	-1.319062829	HC_enriched
contigs_cluasted8364;size=1	Microviridae	No predicted host	No predicted host	1.720634927	RA_enriched
contigs_cluasted8379;size=1	Microviridae	Acidaminococcaceae	Phascolarctobacterium	-6.00341822	HC_enriched
contigs_cluasted8380;size=1	Microviridae	No predicted host	No predicted host	1.076777287	RA_enriched
contigs_cluasted8388;size=1	Microviridae	Bacteroidaceae	Bacteroides	-1.655221501	HC_enriched
contigs_cluasted8390;size=1	Microviridae	Ruminococcaceae	Flavonifractor	-1.879888393	HC_enriched
contigs_cluasted8395;size=1	No classification	No predicted host	No predicted host	1.49492053	RA_enriched
contigs_cluasted84;size=4	crAss-like phage	Rikenellaceae	Alistipes	-1.682159404	HC_enriched
contigs_cluasted843;size=1	Siphoviridae	Clostridiaceae	Butyricicoccus	1.431739301	RA_enriched
contigs_cluasted8433;size=1	Microviridae	No predicted host	No predicted host	-1.353546768	HC_enriched
contigs_cluasted8450;size=1	Anelloviridae	Eukaryotic virus	Eukaryotic virus	1.946076588	RA_enriched
contigs_cluasted8468;size=1	Microviridae	No predicted host	No predicted host	1.728869831	RA_enriched
contigs_cluasted8473;size=1	Microviridae	Ruminococcaceae	Faecalibacterium	2.512236575	RA_enriched
contigs_cluasted8499;size=1	Microviridae	Chlamydiaceae	Chlamydia	2.178711265	RA_enriched
contigs_cluasted8505;size=1	Siphoviridae	No predicted host	No predicted host	1.409731346	RA_enriched
contigs_cluasted8518;size=1	Genomoviridae	Eukaryotic virus	Eukaryotic virus	1.686193526	RA_enriched
contigs_cluasted854;size=4	Siphoviridae	Ruminococcaceae	Ruminococcus	-1.535193379	HC_enriched
contigs_cluasted8548;size=2	Microviridae	Chlamydiaceae	Chlamydia	2.762923811	RA_enriched
contigs_cluasted855;size=1	No classification	Lachnospiraceae	Clostridium	1.727160278	RA_enriched
contigs_cluasted863;size=1	Siphoviridae	Ruminococcaceae	Ruminococcus	-1.012877398	HC_enriched
contigs_cluasted8634;size=1	Genomoviridae	Eukaryotic virus	Eukaryotic virus	-3.3439882	HC_enriched
contigs_cluasted8673;size=1	Genomoviridae	Eukaryotic virus	Eukaryotic virus	2.580597607	RA_enriched
contigs_cluasted869;size=1	Siphoviridae	No predicted host	No predicted host	-2.018690762	HC_enriched
contigs_cluasted87;size=2	Myoviridae	No predicted host	No predicted host	-2.103423302	HC_enriched
contigs_cluasted879;size=2	Myoviridae	Ruminococcaceae	Faecalibacterium	-2.420745434	HC_enriched
contigs_cluasted881;size=1	Podoviridae	No predicted host	No predicted host	-3.322005543	HC_enriched
contigs_cluasted885;size=1	Myoviridae	Bifidobacteriaceae	Bifidobacterium	1.481017996	RA_enriched
contigs_cluasted8874;size=1	No classification	No predicted host	No predicted host	1.345526836	RA_enriched
contigs_cluasted8895;size=1	No classification	No predicted host	No predicted host	1.222284986	RA_enriched
contigs_cluasted896;size=1	Myoviridae	Sutterellaceae	Sutterella	-1.073303934	HC_enriched
contigs_cluasted898;size=1	Myoviridae	Sutterellaceae	Sutterella	-1.900848903	HC_enriched
contigs_cluasted9;size=3	Siphoviridae	No predicted host	No predicted host	-2.290264952	HC_enriched
contigs_cluasted902;size=1	Siphoviridae	No predicted host	No predicted host	-1.530824925	HC_enriched
contigs_cluasted912;size=1	Siphoviridae	No predicted host	No predicted host	-2.000837767	HC_enriched
contigs_cluasted913;size=1	Siphoviridae	No predicted host	No predicted host	-1.014073378	HC_enriched
contigs_cluasted921;size=1	Myoviridae	Ruminococcaceae	Faecalibacterium	-2.727579585	HC_enriched
contigs_cluasted9284;size=1	No classification	No predicted host	No predicted host	1.449419722	RA_enriched
contigs_cluasted934;size=1	Siphoviridae	Lachnospiraceae	Clostridium	-1.192644795	HC_enriched
contigs_cluasted937;size=2	Siphoviridae	Erysipelotrichaceae	Erysipelatoclostridium	2.149693456	RA_enriched
contigs_cluasted938;size=1	No classification	No predicted host	No predicted host	-1.083989739	HC_enriched
contigs_cluasted943;size=1	Myoviridae	Ruminococcaceae	Ruminococcus	-2.153318747	HC_enriched
contigs_cluasted954;size=1	Myoviridae	Ruminococcaceae	Faecalibacterium	2.455480579	RA_enriched
contigs_cluasted96;size=1	Siphoviridae	Erysipelotrichaceae	Eubacterium	-1.848026313	HC_enriched
contigs_cluasted9619;size=1	No classification	No predicted host	No predicted host	1.757924109	RA_enriched
contigs_cluasted962;size=1	Siphoviridae	Lachnospiraceae	Blautia	-3.506887744	HC_enriched
contigs_cluasted963;size=1	Podoviridae	No predicted host	No predicted host	1.199825025	RA_enriched
contigs_cluasted966;size=1	Siphoviridae	Erysipelotrichaceae	Erysipelatoclostridium	1.506480305	RA_enriched
contigs_cluasted969;size=1	Siphoviridae	Ruminococcaceae	Flavonifractor	1.164167062	RA_enriched
contigs_cluasted970;size=1	Siphoviridae	Ruminococcaceae	Ruminococcus	-3.063418172	HC_enriched
contigs_cluasted9750;size=1	No classification	No predicted host	No predicted host	1.834335182	RA_enriched
contigs_cluasted9755;size=1	No classification	No predicted host	No predicted host	1.833944093	RA_enriched
contigs_cluasted977;size=1	Siphoviridae	Lachnospiraceae	Blautia	-3.235584868	HC_enriched
contigs_cluasted980;size=1	No classification	Paenibacillaceae	Paenibacillus	1.207036836	RA_enriched
contigs_cluasted984;size=1	Siphoviridae	No predicted host	No predicted host	-1.242593481	HC_enriched
contigs_cluasted992;size=1	Siphoviridae	Ruminococcaceae	Ruminococcus	-3.156222967	HC_enriched
